Date,Name,Estimate EPS,EPS
2018.05.01,2018Q1,0.17,0.17
2018.07.31,2018Q2,0.14,0.15
2018.11.01,2018Q3,0.17,0.18
2019.01.29,2018Q4,0.26,0.26
2019.04.30,2019Q1,0.15,0.15
2019.07.30,2019Q2,0.13,0.14
2019.10.30,2019Q3,0.18,0.19
2020.01.28,2019Q4,0.28,0.31
2020.04.30,2020Q1,0.14,0.16
2020.07.30,2020Q2,0.13,0.16
2020.10.29,2020Q3,0.7,0.73
2021.01.27,2020Q4,1.41,1.68
2021.04.28,2021Q1,0.99,1.4
2021.07.27,2021Q2,1.01,1.3
2021.10.28,2021Q3,1.24,1.24
2022.01.27,2021Q4,1.89,2.1
2022.04.28,2022Q1,1.43,1.52
2022.07.28,2022Q2,1.16,1.2
2022.10.27,2022Q3,1.27,1.29
2023.02.02,2022Q4,1.94,1.88
2023.05.04,2023Q1,1.43,1.52
2023.08.03,2023Q2,1.19,1.26
2023.11.02,2023Q3,1.39,1.46
2024.02.01,2023Q4,2.1,2.18
2024.05.02,2024Q1,1.5,1.53
2024.08.01,2024Q2,1.35,1.4
2024.10.31,2024Q3,1.6,1.64
2025.01.30,2024Q4,2.35,2.4
2025.05.01,2025Q1,1.62,1.65
2025.08.14,2025Q2,1.43,1.57
2025.11.14,2025Q3,1.77,1.85
2026.02.14,2025Q4,2.67,2.84
2026.05.14,2026Q1,1.96,
2026.08.14,2026Q2,1.74,
2026.11.14,2026Q3,2.03,
2027.02.14,2026Q4,3.12,
2027.05.14,2027Q1,2.16,
2027.08.14,2027Q2,1.91,
2027.11.14,2027Q3,2.23,
2028.02.14,2027Q4,3.43,
2028.05.14,2028Q1,2.38,
2028.08.14,2028Q2,2.1,
2028.11.14,2028Q3,2.45,
2029.02.14,2028Q4,3.77,
