Date,Name,Estimate EPS,EPS
2018.04.25,2018Q1,0.09,0.11
2018.07.25,2018Q2,0.13,0.14
2018.10.24,2018Q3,0.12,0.13
2019.01.29,2018Q4,0.08,0.08
2019.04.30,2019Q1,0.05,0.06
2019.07.30,2019Q2,0.08,0.08
2019.10.29,2019Q3,0.18,0.18
2020.01.28,2019Q4,0.31,0.32
2020.04.28,2020Q1,0.18,0.18
2020.07.28,2020Q2,0.16,0.18
2020.10.27,2020Q3,0.36,0.41
2021.01.26,2020Q4,0.47,0.52
2021.04.27,2021Q1,0.44,0.52
2021.07.27,2021Q2,0.54,0.63
2021.10.26,2021Q3,0.67,0.73
2022.02.01,2021Q4,0.76,0.92
2022.05.03,2022Q1,0.91,1.13
2022.08.02,2022Q2,1.03,1.05
2022.11.01,2022Q3,0.68,0.67
2023.01.31,2022Q4,0.67,0.69
2023.05.02,2023Q1,0.56,0.6
2023.08.01,2023Q2,0.57,0.58
2023.10.31,2023Q3,0.68,0.7
2024.01.30,2023Q4,0.77,0.77
2024.04.30,2024Q1,0.61,0.62
2024.07.30,2024Q2,0.68,0.69
2024.10.29,2024Q3,0.92,0.92
2025.02.04,2024Q4,1.08,1.09
2025.05.06,2025Q1,0.93,0.96
2025.08.14,2025Q2,0.48,0.48
2025.11.14,2025Q3,1.17,1.2
2026.02.14,2025Q4,1.32,1.53
2026.05.14,2026Q1,1.27,
2026.08.14,2026Q2,1.41,
2026.11.14,2026Q3,1.94,
2027.02.14,2026Q4,2.48,
2027.05.14,2027Q1,2.06,
2027.08.14,2027Q2,2.28,
2027.11.14,2027Q3,3.14,
2028.02.14,2027Q4,4.02,
2028.05.14,2028Q1,3.34,
2028.08.14,2028Q2,3.69,
2028.11.14,2028Q3,5.08,
2029.02.14,2028Q4,6.51,
