Date,Name,Estimate EPS,EPS
2021.08.11,2021Q2,0.05,0.04
2022.02.16,2021Q4,0.11,0.08
2022.05.13,2022Q1,-0.04,-0.31
2022.08.10,2022Q2,0.18,-0.06
2022.11.09,2022Q3,0.07,0.06
2023.02.08,2022Q4,0.05,-0.21
2023.05.10,2023Q1,0.06,-0.01
2023.08.09,2023Q2,0.07,0.22
2023.11.08,2023Q3,0.27,0.3
2024.02.14,2023Q4,0.35,0.49
2024.05.08,2024Q1,0.57,0.67
2024.08.07,2024Q2,0.75,0.89
2024.11.06,2024Q3,0.92,1.25
2025.02.12,2024Q4,1.24,1.73
2025.05.07,2025Q1,1.44,1.67
2025.08.14,2025Q2,1.98,2.39
2025.11.14,2025Q3,2.39,2.45
2026.02.14,2025Q4,2.94,3.24
2026.05.14,2026Q1,3.45,
2026.08.14,2026Q2,3.69,
2026.11.14,2026Q3,3.21,
2027.02.14,2026Q4,4.24,
2027.05.14,2027Q1,4.52,
2027.08.14,2027Q2,4.83,
2027.11.14,2027Q3,4.21,
2028.02.14,2027Q4,5.55,
2028.05.14,2028Q1,5.92,
2028.08.14,2028Q2,6.33,
2028.11.14,2028Q3,5.51,
2029.02.14,2028Q4,7.27,
