Date,Name,Estimate EPS,EPS
2018.04.23,2018Q1,0.02,0.03
2018.07.23,2018Q2,0.02,0.03
2018.10.25,2018Q3,0.03,0.03
2019.02.04,2018Q4,0.03,0.03
2019.04.29,2019Q1,0.03,0.03
2019.07.25,2019Q2,0.03,0.04
2019.10.28,2019Q3,0.03,0.03
2020.02.03,2019Q4,0.03,0.04
2020.04.28,2020Q1,0.03,0.02
2020.07.30,2020Q2,0.02,0.03
2020.10.29,2020Q3,0.03,0.04
2021.02.02,2020Q4,0.04,0.06
2021.04.27,2021Q1,0.04,0.07
2021.07.27,2021Q2,0.05,0.07
2021.10.26,2021Q3,0.06,0.07
2022.02.01,2021Q4,0.07,0.08
2022.04.26,2022Q1,0.06,0.06
2022.07.26,2022Q2,1.3,1.21
2022.10.25,2022Q3,1.25,1.06
2023.02.02,2022Q4,1.19,1.05
2023.04.25,2023Q1,1.06,1.17
2023.07.25,2023Q2,1.34,1.44
2023.10.24,2023Q3,1.45,1.55
2024.01.30,2023Q4,1.59,1.64
2024.04.25,2024Q1,1.51,1.89
2024.07.23,2024Q2,1.84,1.89
2024.10.29,2024Q3,1.85,2.12
2025.02.04,2024Q4,2.13,2.15
2025.04.24,2025Q1,2.01,2.81
2025.08.14,2025Q2,2.2,2.31
2025.11.14,2025Q3,2.26,2.87
2026.02.14,2025Q4,2.64,2.82
2026.05.14,2026Q1,2.62,
2026.08.14,2026Q2,2.78,
2026.11.14,2026Q3,3.34,
2027.02.14,2026Q4,3.28,
2027.05.14,2027Q1,3.05,
2027.08.14,2027Q2,3.23,
2027.11.14,2027Q3,3.88,
2028.02.14,2027Q4,3.81,
2028.05.14,2028Q1,3.55,
2028.08.14,2028Q2,3.75,
2028.11.14,2028Q3,4.51,
2029.02.14,2028Q4,4.43,
