Date,Name,Estimate EPS,EPS
2018.04.30,2018Q1,1.67,1.79
2018.07.26,2018Q2,1.92,1.99
2018.10.23,2018Q3,1.99,2.1
2019.01.30,2018Q4,1.89,1.97
2019.04.30,2019Q1,1.75,1.78
2019.07.26,2019Q2,2.05,2.05
2019.10.22,2019Q3,2.21,2.11
2020.01.29,2019Q4,1.96,1.97
2020.04.30,2020Q1,1.57,1.47
2020.07.28,2020Q2,0.74,0.66
2020.11.09,2020Q3,1.9,2.22
2021.01.28,2020Q4,1.78,1.7
2021.04.29,2021Q1,1.81,1.92
2021.07.28,2021Q2,2.11,2.37
2021.10.27,2021Q3,2.46,2.76
2022.01.27,2021Q4,2.34,2.23
2022.04.28,2022Q1,2.17,2.28
2022.07.26,2022Q2,2.47,2.55
2022.10.27,2022Q3,2.58,2.68
2023.01.31,2022Q4,2.45,2.59
2023.04.25,2023Q1,2.33,2.63
2023.07.27,2023Q2,2.79,3.17
2023.10.30,2023Q3,3.0,3.19
2024.02.05,2023Q4,2.82,2.95
2024.04.30,2024Q1,2.72,2.7
2024.07.29,2024Q2,3.07,2.97
2024.10.29,2024Q3,3.2,3.23
2025.02.10,2024Q4,2.83,2.83
2025.05.01,2025Q1,2.67,2.67
2025.08.14,2025Q2,3.15,3.19
2025.11.14,2025Q3,3.33,3.22
2026.02.14,2025Q4,3.05,3.12
2026.05.14,2026Q1,2.76,
2026.08.14,2026Q2,3.43,
2026.11.14,2026Q3,3.49,
2027.02.14,2026Q4,3.38,
2027.05.14,2027Q1,2.99,
2027.08.14,2027Q2,3.72,
2027.11.14,2027Q3,3.79,
2028.02.14,2027Q4,3.67,
2028.05.14,2028Q1,3.24,
2028.08.14,2028Q2,4.04,
2028.11.14,2028Q3,4.11,
2029.02.14,2028Q4,3.98,
