Date,Name,Estimate EPS,EPS
2018.04.25,2018Q1,1.35,1.69
2018.07.25,2018Q2,1.72,1.74
2018.10.30,2018Q3,1.47,1.76
2019.01.30,2018Q4,2.19,2.38
2019.04.24,2019Q1,1.63,1.89
2019.07.24,2019Q2,1.88,1.99
2019.10.30,2019Q3,1.91,2.12
2020.01.29,2019Q4,2.53,2.56
2020.04.29,2020Q1,1.75,1.71
2020.07.30,2020Q2,1.39,1.8
2020.10.29,2020Q3,1.91,2.4
2021.01.27,2020Q4,3.22,3.88
2021.04.28,2021Q1,2.37,3.3
2021.07.28,2021Q2,3.03,3.61
2021.10.25,2021Q3,3.19,3.22
2022.02.02,2021Q4,3.84,3.67
2022.04.27,2022Q1,2.56,2.72
2022.07.27,2022Q2,2.59,2.46
2022.10.26,2022Q3,1.89,1.64
2023.02.01,2022Q4,2.22,1.76
2023.04.26,2023Q1,2.03,2.2
2023.07.26,2023Q2,2.92,2.98
2023.10.25,2023Q3,3.63,4.39
2024.02.01,2023Q4,4.96,5.33
2024.04.24,2024Q1,4.32,4.71
2024.07.31,2024Q2,4.73,5.16
2024.10.30,2024Q3,5.25,6.03
2025.01.29,2024Q4,6.77,8.02
2025.04.30,2025Q1,5.22,6.43
2025.08.14,2025Q2,5.9,7.14
2025.11.14,2025Q3,6.71,1.05
2026.02.14,2025Q4,8.22,8.88
2026.05.14,2026Q1,6.66,
2026.08.14,2026Q2,7.14,
2026.11.14,2026Q3,1.22,
2027.02.14,2026Q4,10.31,
2027.05.14,2027Q1,7.73,
2027.08.14,2027Q2,8.29,
2027.11.14,2027Q3,1.42,
2028.02.14,2027Q4,11.97,
2028.05.14,2028Q1,8.98,
2028.08.14,2028Q2,9.63,
2028.11.14,2028Q3,1.65,
2029.02.14,2028Q4,13.9,
