Date,Name,Estimate EPS,EPS
2018.04.26,2018Q1,0.85,0.95
2018.07.19,2018Q2,1.08,1.13
2018.10.24,2018Q3,0.96,1.14
2019.01.30,2018Q4,1.09,1.1
2019.04.24,2019Q1,1.0,1.14
2019.07.18,2019Q2,1.21,1.37
2019.10.23,2019Q3,1.25,1.38
2020.01.29,2019Q4,1.32,1.51
2020.04.29,2020Q1,1.26,1.4
2020.07.22,2020Q2,1.34,1.46
2020.10.27,2020Q3,1.54,1.82
2021.01.26,2020Q4,1.64,2.03
2021.04.27,2021Q1,1.78,1.95
2021.07.27,2021Q2,1.92,2.17
2021.10.26,2021Q3,2.07,2.27
2022.01.25,2021Q4,2.31,2.48
2022.04.26,2022Q1,2.19,2.22
2022.07.26,2022Q2,2.29,2.23
2022.10.25,2022Q3,2.3,2.35
2023.01.24,2022Q4,2.29,2.32
2023.04.25,2023Q1,2.23,2.45
2023.07.25,2023Q2,2.55,2.69
2023.10.24,2023Q3,2.65,2.99
2024.01.30,2023Q4,2.78,2.93
2024.04.25,2024Q1,2.82,2.94
2024.07.30,2024Q2,2.93,2.95
2024.10.30,2024Q3,3.1,3.3
2025.01.29,2024Q4,3.11,3.23
2025.04.30,2025Q1,3.22,3.46
2025.08.14,2025Q2,3.38,3.65
2025.11.14,2025Q3,3.66,4.13
2026.02.14,2025Q4,3.92,4.14
2026.05.14,2026Q1,4.06,
2026.08.14,2026Q2,4.24,
2026.11.14,2026Q3,4.69,
2027.02.14,2026Q4,4.7,
2027.05.14,2027Q1,4.61,
2027.08.14,2027Q2,4.81,
2027.11.14,2027Q3,5.32,
2028.02.14,2027Q4,5.34,
2028.05.14,2028Q1,5.23,
2028.08.14,2028Q2,5.46,
2028.11.14,2028Q3,6.04,
2029.02.14,2028Q4,6.06,
