Date,Name,Estimate EPS,EPS
2018.05.10,2018Q1,0.01,0.01
2018.08.16,2018Q2,0.01,0.01
2018.11.15,2018Q3,0.01,0.01
2019.02.14,2018Q4,0.0,0.01
2019.05.16,2019Q1,0.01,0.01
2019.08.15,2019Q2,0.01,0.01
2019.11.14,2019Q3,0.01,0.01
2020.02.13,2019Q4,0.01,0.01
2020.05.21,2020Q1,0.01,0.01
2020.08.19,2020Q2,0.01,0.01
2020.11.18,2020Q3,0.02,0.02
2021.02.24,2020Q4,0.02,0.02
2021.05.26,2021Q1,0.02,0.02
2021.08.18,2021Q2,0.1,0.1
2021.11.17,2021Q3,0.11,0.12
2022.02.16,2021Q4,0.12,0.13
2022.05.25,2022Q1,0.13,0.14
2022.08.24,2022Q2,0.13,0.05
2022.11.16,2022Q3,0.07,0.06
2023.02.22,2022Q4,0.08,0.09
2023.05.24,2023Q1,0.09,0.11
2023.08.23,2023Q2,0.21,0.27
2023.11.21,2023Q3,0.34,0.4
2024.02.21,2023Q4,0.46,0.52
2024.05.22,2024Q1,0.56,0.61
2024.08.28,2024Q2,0.64,0.68
2024.11.20,2024Q3,0.75,0.81
2025.02.26,2024Q4,0.84,0.89
2025.05.28,2025Q1,0.75,0.81
2025.09.14,2025Q2,1.01,1.05
2025.12.15,2025Q3,1.26,1.3
2026.03.17,2025Q4,1.54,1.62
2026.06.17,2026Q1,1.78,
2026.09.17,2026Q2,1.95,
2026.12.17,2026Q3,1.74,
2027.03.17,2026Q4,2.17,
2027.06.17,2027Q1,2.39,
2027.09.17,2027Q2,2.61,
2027.12.17,2027Q3,2.33,
2028.03.17,2027Q4,2.91,
2028.06.17,2028Q1,3.2,
2028.09.17,2028Q2,3.5,
2028.12.17,2028Q3,3.12,
2029.03.17,2028Q4,3.9,
