Date,Name,Estimate EPS,EPS
2020.11.12,2020Q3,0.02,0.09
2021.02.16,2020Q4,0.02,0.06
2021.05.11,2021Q1,0.04,0.04
2021.08.12,2021Q2,0.04,0.04
2021.11.09,2021Q3,0.04,0.04
2022.02.17,2021Q4,0.04,0.02
2022.05.09,2022Q1,0.04,0.02
2022.08.08,2022Q2,0.03,-0.01
2022.11.07,2022Q3,0.02,0.01
2023.02.13,2022Q4,0.03,0.04
2023.05.08,2023Q1,0.04,0.05
2023.08.07,2023Q2,0.05,0.05
2023.11.02,2023Q3,0.06,0.07
2024.02.05,2023Q4,0.08,0.08
2024.05.06,2024Q1,0.08,0.08
2024.08.05,2024Q2,0.08,0.09
2024.11.04,2024Q3,0.09,0.1
2025.02.03,2024Q4,0.11,0.14
2025.05.05,2025Q1,0.13,0.13
2025.08.14,2025Q2,0.14,0.16
2025.11.14,2025Q3,0.17,0.21
2026.02.14,2025Q4,0.23,0.25
2026.05.14,2026Q1,0.28,
2026.08.14,2026Q2,0.3,
2026.11.14,2026Q3,0.3,
2027.02.14,2026Q4,0.35,
2027.05.14,2027Q1,0.39,
2027.08.14,2027Q2,0.42,
2027.11.14,2027Q3,0.42,
2028.02.14,2027Q4,0.49,
2028.05.14,2028Q1,0.55,
2028.08.14,2028Q2,0.59,
2028.11.14,2028Q3,0.59,
2029.02.14,2028Q4,0.69,
