Date,Name,Estimate EPS,EPS
2018.02.07,2017Q4,-0.01,-0.01
2018.05.02,2018Q1,-0.02,-0.01
2018.08.01,2018Q2,-0.01,-0.01
2018.10.24,2018Q3,0.0,0.01
2019.01.30,2018Q4,0.01,0.01
2019.04.24,2019Q1,-0.0,-0.01
2019.07.24,2019Q2,-0.0,-0.0
2019.10.23,2019Q3,-0.0,0.01
2020.01.29,2019Q4,0.01,0.01
2020.04.29,2020Q1,-0.0,0.01
2020.07.22,2020Q2,-0.0,0.01
2020.10.21,2020Q3,0.06,0.08
2021.01.27,2020Q4,0.11,0.09
2021.04.26,2021Q1,0.09,0.1
2021.07.26,2021Q2,0.11,0.16
2021.10.20,2021Q3,0.18,0.21
2022.01.26,2021Q4,0.26,0.28
2022.04.20,2022Q1,0.25,0.36
2022.07.20,2022Q2,0.2,0.25
2022.10.19,2022Q3,0.99,1.05
2023.01.25,2022Q4,1.13,1.19
2023.04.19,2023Q1,0.85,0.85
2023.07.19,2023Q2,0.82,0.91
2023.10.18,2023Q3,0.72,0.66
2024.01.24,2023Q4,0.74,0.71
2024.04.23,2024Q1,0.51,0.45
2024.07.23,2024Q2,0.62,0.52
2024.10.23,2024Q3,0.58,0.72
2025.01.29,2024Q4,0.76,0.73
2025.04.22,2025Q1,0.39,0.27
2025.08.14,2025Q2,0.4,0.4
2025.11.14,2025Q3,0.56,0.5
2026.02.14,2025Q4,0.45,0.5
2026.05.15,2026Q1,0.35,0.41
2026.08.15,2026Q2,0.46,
2026.11.15,2026Q3,0.55,
2027.02.15,2026Q4,0.6,
2027.05.15,2027Q1,0.49,
2027.08.15,2027Q2,0.55,
2027.11.15,2027Q3,0.66,
2028.02.15,2027Q4,0.72,
2028.05.15,2028Q1,0.59,
2028.08.15,2028Q2,0.66,
2028.11.15,2028Q3,0.79,
2029.02.15,2028Q4,0.86,
2029.05.15,2029Q1,0.71,
