Date,Name,Estimate EPS,EPS
2018.04.19,2018Q1,0.6,0.59
2018.07.20,2018Q2,0.47,0.47
2018.10.18,2018Q3,0.56,0.56
2019.01.22,2018Q4,0.63,0.63
2019.04.19,2019Q1,0.38,0.39
2019.07.25,2019Q2,0.41,0.41
2019.11.08,2019Q3,0.63,0.62
2020.01.16,2019Q4,0.73,0.73
2020.04.16,2020Q1,0.73,0.75
2020.07.16,2020Q2,0.77,0.78
2020.10.15,2020Q3,0.77,0.9
2021.01.14,2020Q4,0.95,0.97
2021.04.15,2021Q1,0.94,0.96
2021.07.15,2021Q2,0.93,0.93
2021.10.14,2021Q3,1.04,1.08
2022.01.28,2021Q4,1.14,1.15
2022.04.14,2022Q1,1.33,1.39
2022.07.14,2022Q2,1.51,1.55
2022.10.13,2022Q3,1.69,1.79
2023.01.12,2022Q4,1.76,1.91
2023.04.20,2023Q1,1.2,1.31
2023.07.20,2023Q2,1.08,1.14
2023.10.19,2023Q3,1.17,1.29
2024.01.18,2023Q4,1.37,1.45
2024.04.18,2024Q1,1.32,1.39
2024.07.18,2024Q2,1.43,1.48
2024.10.17,2024Q3,1.8,1.94
2025.01.16,2024Q4,2.23,2.24
2025.04.17,2025Q1,2.04,2.12
2025.08.14,2025Q2,2.31,2.47
2025.11.14,2025Q3,2.63,2.92
2026.02.14,2025Q4,2.98,3.14
2026.05.15,2026Q1,3.33,3.49
2026.08.15,2026Q2,3.74,
2026.11.15,2026Q3,4.08,
2027.02.15,2026Q4,3.92,
2027.05.15,2027Q1,4.36,
2027.08.15,2027Q2,4.67,
2027.11.15,2027Q3,5.09,
2028.02.15,2027Q4,4.89,
2028.05.15,2028Q1,5.44,
2028.08.15,2028Q2,5.83,
2028.11.15,2028Q3,6.36,
2029.02.15,2028Q4,6.11,
2029.05.15,2029Q1,6.79,
