,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,76860000.0,-35720000.0,210000.0,0.0,
Tax Rate For Calcs,0.21,0.19,0.21,0.21,
Normalized EBITDA,6909000000.0,5333000000.0,4050000000.0,5534000000.0,
Total Unusual Items,366000000.0,-188000000.0,1000000.0,0.0,
Total Unusual Items Excluding Goodwill,366000000.0,-188000000.0,1000000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,4269000000.0,1641000000.0,854000000.0,1320000000.0,
Reconciled Depreciation,3004000000.0,3064000000.0,3453000000.0,4262000000.0,
Reconciled Cost Of Revenue,15706000000.0,11444000000.0,10636000000.0,10836000000.0,
EBITDA,7275000000.0,5145000000.0,4051000000.0,5534000000.0,
EBIT,4271000000.0,2081000000.0,598000000.0,1272000000.0,
Net Interest Income,84000000.0,90000000.0,100000000.0,-23000000.0,
Interest Expense,131000000.0,92000000.0,106000000.0,88000000.0,
Interest Income,215000000.0,182000000.0,206000000.0,65000000.0,
Normalized Income,3979860000.0,1793280000.0,853210000.0,1320000000.0,
Net Income From Continuing And Discontinued Operation,4335000000.0,1641000000.0,854000000.0,1320000000.0,
Total Expenses,30945000000.0,23699000000.0,22279000000.0,22337000000.0,
Total Operating Income As Reported,3694000000.0,1900000000.0,401000000.0,1264000000.0,
Diluted Average Shares,1636000000.0,1637000000.0,1625000000.0,1571000000.0,
Basic Average Shares,1624000000.0,1620000000.0,1614000000.0,1561000000.0,
Diluted EPS,2.65,1.0,0.53,0.84,
Basic EPS,2.67,1.01,0.53,0.85,
Diluted NI Availto Com Stockholders,4335000000.0,1641000000.0,854000000.0,1320000000.0,
Average Dilution Earnings,,,,0.0,0.0
Net Income Common Stockholders,4335000000.0,1641000000.0,854000000.0,1320000000.0,
Net Income,4335000000.0,1641000000.0,854000000.0,1320000000.0,
Net Income Including Noncontrolling Interests,4335000000.0,1641000000.0,854000000.0,1320000000.0,
Net Income Discontinuous Operations,66000000.0,0.0,0.0,,
Net Income Continuous Operations,4269000000.0,1641000000.0,854000000.0,1320000000.0,
Earnings From Equity Interest Net Of Tax,26000000.0,33000000.0,16000000.0,14000000.0,
Tax Provision,-103000000.0,381000000.0,-346000000.0,-122000000.0,
Pretax Income,4140000000.0,1989000000.0,492000000.0,1184000000.0,
Other Income Expense,362000000.0,-187000000.0,-9000000.0,-57000000.0,
Other Non Operating Income Expenses,-4000000.0,1000000.0,-10000000.0,5000000.0,
Special Income Charges,0.0,-186000000.0,0.0,0.0,
Other Special Charges,,,,,7000000.0
Restructuring And Mergern Acquisition,0.0,186000000.0,0.0,0.0,
Earnings From Equity Interest,,2000000.0,-1000000.0,-62000000.0,56000000.0
Gain On Sale Of Security,366000000.0,-2000000.0,1000000.0,,
Net Non Operating Interest Income Expense,84000000.0,90000000.0,100000000.0,-23000000.0,
Interest Expense Non Operating,131000000.0,92000000.0,106000000.0,88000000.0,
Interest Income Non Operating,215000000.0,182000000.0,206000000.0,65000000.0,
Operating Income,3694000000.0,2086000000.0,401000000.0,1264000000.0,
Operating Expense,13458000000.0,10639000000.0,10059000000.0,9339000000.0,
Other Operating Expenses,,-48000000.0,-34000000.0,-102000000.0,-12000000.0
Depreciation Amortization Depletion Income Statement,1223000000.0,1448000000.0,1869000000.0,2100000000.0,
Depreciation And Amortization In Income Statement,1223000000.0,1448000000.0,1869000000.0,2100000000.0,
Amortization,1223000000.0,1448000000.0,1869000000.0,2100000000.0,
Amortization Of Intangibles Income Statement,1223000000.0,1448000000.0,1869000000.0,2100000000.0,
Research And Development,8091000000.0,6456000000.0,5872000000.0,5005000000.0,
Selling General And Administration,4144000000.0,2735000000.0,2318000000.0,2336000000.0,
Gross Profit,17152000000.0,12725000000.0,10460000000.0,10603000000.0,
Cost Of Revenue,17487000000.0,13060000000.0,12220000000.0,12998000000.0,
Total Revenue,34639000000.0,25785000000.0,22680000000.0,23601000000.0,
Operating Revenue,34639000000.0,25785000000.0,22680000000.0,23601000000.0,
