,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,3942776000.0,2073458000.0,997611000.0,412111000.0,
Repurchase Of Capital Stock,-2191944000.0,-981297000.0,-1153593000.0,-338880000.0,
Repayment Of Debt,-218669000.0,-4246098000.0,-518164000.0,-49893000.0,
Issuance Of Debt,200000000.0,4614841000.0,395281000.0,0.0,
Issuance Of Capital Stock,,,0.0,0.0,1745228000.0
Capital Expenditure,-28318000.0,-25553000.0,-63899000.0,-662000.0,
Interest Paid Supplemental Data,198788000.0,270615000.0,248828000.0,165959000.0,
Income Tax Paid Supplemental Data,194843000.0,67332000.0,75433000.0,86264000.0,
End Cash Position,2487096000.0,741411000.0,502152000.0,1080484000.0,
Beginning Cash Position,697030000.0,502152000.0,1080484000.0,2570504000.0,
Effect Of Exchange Rate Changes,9232000.0,-3154000.0,778000.0,-4477000.0,
Changes In Cash,1780834000.0,242413000.0,-579110000.0,-1485543000.0,
Cash Flow From Discontinued Operation,44381000.0,0.0,0.0,,
Financing Cash Flow,-2593069000.0,-1749844000.0,-1562791000.0,-526848000.0,
Cash Flow From Continuing Financing Activities,-2593069000.0,-1749844000.0,-1562791000.0,-526848000.0,
Net Other Financing Charges,-407785000.0,-1179088000.0,-312103000.0,-169093000.0,
Proceeds From Stock Option Exercised,25329000.0,41798000.0,25788000.0,31018000.0,
Net Common Stock Issuance,-2191944000.0,-981297000.0,-1153593000.0,-338880000.0,
Common Stock Payments,-2191944000.0,-981297000.0,-1153593000.0,-338880000.0,
Common Stock Issuance,,,0.0,0.0,1745228000.0
Net Issuance Payments Of Debt,-18669000.0,368743000.0,-122883000.0,-49893000.0,
Net Long Term Debt Issuance,-18669000.0,368743000.0,-122883000.0,-49893000.0,
Long Term Debt Payments,-218669000.0,-4246098000.0,-518164000.0,-49893000.0,
Long Term Debt Issuance,200000000.0,4614841000.0,395281000.0,0.0,
Investing Cash Flow,358428000.0,-106754000.0,-77829000.0,-1371468000.0,
Cash Flow From Continuing Investing Activities,358428000.0,-106754000.0,-77829000.0,-1371468000.0,
Net Other Investing Changes,-373000.0,-4218000.0,4004000.0,41312000.0,
Net Investment Purchase And Sale,-20178000.0,-76983000.0,-17934000.0,-66342000.0,
Purchase Of Investment,-20178000.0,-76983000.0,-17934000.0,-66342000.0,
Net Business Purchase And Sale,407297000.0,0.0,0.0,-1345776000.0,
Sale Of Business,407297000.0,0.0,0.0,,
Purchase Of Business,,-25553000.0,-63899000.0,-1345776000.0,-1210549000.0
Net Intangibles Purchase And Sale,-28318000.0,-25553000.0,-63899000.0,,
Purchase Of Intangibles,-28318000.0,-25553000.0,-63899000.0,,
Net PPE Purchase And Sale,,-4776000.0,-4246000.0,-662000.0,-1390000.0
Sale Of PPE,,,,37000000.0,0.0
Purchase Of PPE,,-4776000.0,-4246000.0,-662000.0,-1390000.0
Capital Expenditure Reported,,,,-5949000.0,-4067000.0
Operating Cash Flow,3971094000.0,2099011000.0,1061510000.0,412773000.0,
Cash Flow From Continuing Operating Activities,3971094000.0,2099011000.0,1061510000.0,412773000.0,
Change In Working Capital,77922000.0,-349539000.0,-208674000.0,-292439000.0,
Change In Other Working Capital,,-6633000.0,13857000.0,-14711000.0,-13907000.0
Change In Other Current Liabilities,-15229000.0,-14106000.0,-18612000.0,-18898000.0,
Change In Other Current Assets,,-189387000.0,-121688000.0,-77343000.0,-45938000.0
Change In Payables And Accrued Expense,500712000.0,316926000.0,205185000.0,-2933000.0,
Change In Accrued Expense,268226000.0,127341000.0,106611000.0,-6412000.0,
Change In Payable,232486000.0,189585000.0,98574000.0,3479000.0,
Change In Account Payable,232486000.0,189585000.0,98574000.0,3479000.0,
Change In Prepaid Assets,134658000.0,-185331000.0,-133968000.0,-3725000.0,
Change In Receivables,-542219000.0,-467028000.0,-261279000.0,-174829000.0,
Changes In Account Receivables,-542219000.0,-467028000.0,-261279000.0,-174829000.0,
Other Non Cash Items,21508000.0,22352000.0,29068000.0,31571000.0,
Stock Based Compensation,210421000.0,369367000.0,363107000.0,191612000.0,
Unrealized Gain Loss On Investment Securities,,,,,-8841000.0
Asset Impairment Charge,238943000.0,0.0,27953000.0,0.0,
Depreciation Amortization Depletion,194778000.0,448680000.0,489008000.0,547084000.0,
Depreciation And Amortization,194778000.0,448680000.0,489008000.0,547084000.0,
Amortization Cash Flow,194778000.0,448680000.0,489008000.0,547084000.0,
Amortization Of Intangibles,194778000.0,448680000.0,489008000.0,547084000.0,
Operating Gains Losses,-106229000.0,28375000.0,4337000.0,127892000.0,
Net Foreign Currency Exchange Gain Loss,,,,,-1734000.0
Gain Loss On Sale Of PPE,,1646000.0,0.0,127892000.0,
Gain Loss On Sale Of Business,-106229000.0,0.0,0.0,,
Net Income From Continuing Operations,3333751000.0,1579776000.0,356711000.0,-192947000.0,
