,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.131477,0.013908,0.087272,0.059607,
Normalized EBITDA,4354704000.0,2377832000.0,1264118000.0,513770000.0,
Total Unusual Items,,,,0.0,0.0
Total Unusual Items Excluding Goodwill,,,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,3433195000.0,1589524000.0,457826000.0,-192746000.0,
Reconciled Depreciation,194778000.0,448680000.0,489008000.0,547084000.0,
Reconciled Cost Of Revenue,665140000.0,520613000.0,356613000.0,1256065000.0,
EBITDA,4354704000.0,2377832000.0,1264118000.0,513770000.0,
EBIT,4159926000.0,1929152000.0,775110000.0,-33314000.0,
Net Interest Income,-207016000.0,-317209000.0,-273508000.0,-171863000.0,
Interest Expense,207016000.0,317209000.0,273508000.0,171863000.0,
Normalized Income,3433195000.0,1589524000.0,457826000.0,-192746000.0,
Net Income From Continuing And Discontinued Operation,3333764000.0,1579790000.0,357211000.0,-192746000.0,
Total Expenses,1328803000.0,1313102000.0,1069351000.0,2864849000.0,
Total Operating Income As Reported,4151914000.0,1910956000.0,772411000.0,-47791000.0,
Diluted Average Shares,341970000.0,347807555.0,362589246.0,371568011.0,
Basic Average Shares,338781000.0,336921483.0,351952187.0,371568011.0,
Diluted EPS,9.75,4.53,0.98,-0.52,
Basic EPS,9.84,4.68,1.01,-0.52,
Diluted NI Availto Com Stockholders,3333290000.0,1577144000.0,354993000.0,-192746000.0,
Average Dilution Earnings,4000.0,85000.0,52000.0,0.0,
Net Income Common Stockholders,3333286000.0,1577059000.0,354941000.0,-192746000.0,
Otherunder Preferred Stock Dividend,478000.0,2731000.0,2270000.0,0.0,
Net Income,3333764000.0,1579790000.0,357211000.0,-192746000.0,
Minority Interests,,0.0,0.0,201000.0,108000.0
Net Income Including Noncontrolling Interests,3333764000.0,1579790000.0,357211000.0,-192947000.0,
Net Income Discontinuous Operations,-99431000.0,-9734000.0,-100615000.0,,
Net Income Continuous Operations,3433195000.0,1589524000.0,457826000.0,-192947000.0,
Tax Provision,519715000.0,22419000.0,43776000.0,-12230000.0,
Pretax Income,3952910000.0,1611943000.0,501602000.0,-205177000.0,
Other Income Expense,8012000.0,18196000.0,2699000.0,14477000.0,
Other Non Operating Income Expenses,8012000.0,18196000.0,2699000.0,14477000.0,
Special Income Charges,,,,0.0,0.0
Restructuring And Mergern Acquisition,,,,0.0,0.0
Net Non Operating Interest Income Expense,-207016000.0,-317209000.0,-273508000.0,-171863000.0,
Interest Expense Non Operating,207016000.0,317209000.0,273508000.0,171863000.0,
Operating Income,4151914000.0,1910956000.0,772411000.0,-47791000.0,
Operating Expense,663663000.0,792489000.0,712738000.0,1608784000.0,
Research And Development,226510000.0,374710000.0,333781000.0,507607000.0,
Selling General And Administration,437153000.0,417779000.0,378957000.0,1101177000.0,
Selling And Marketing Expense,203651000.0,252863000.0,228025000.0,919550000.0,
General And Administrative Expense,233502000.0,164916000.0,150932000.0,181627000.0,
Other Gand A,233502000.0,164916000.0,150932000.0,181627000.0,
Gross Profit,4815577000.0,2703445000.0,1485149000.0,1560993000.0,
Cost Of Revenue,665140000.0,520613000.0,356613000.0,1256065000.0,
Total Revenue,5480717000.0,3224058000.0,1841762000.0,2817058000.0,
Operating Revenue,5480717000.0,3224058000.0,1841762000.0,2817058000.0,
