,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,-12824966.647477,0.0,
Tax Rate For Calcs,0.120555,0.181597,0.126864,0.067877,0.21,
Normalized EBITDA,1337380000.0,1107477000.0,982466000.0,940112000.0,737160000.0,
Total Unusual Items,,,,-188943000.0,,
Total Unusual Items Excluding Goodwill,,,,-188943000.0,,
Net Income From Continuing Operation Net Minority Interest,1102256000.0,835545000.0,771856000.0,576419000.0,599204000.0,
Reconciled Depreciation,32736000.0,35102000.0,47053000.0,79887000.0,127837000.0,
Reconciled Cost Of Revenue,183529000.0,174855000.0,155076000.0,271232000.0,320452000.0,
EBITDA,1337380000.0,1107477000.0,982466000.0,751169000.0,737160000.0,
EBIT,1304644000.0,1072375000.0,935413000.0,671282000.0,609323000.0,
Net Interest Income,-51290000.0,-51429000.0,-51409000.0,-52888000.0,-113662000.0,
Interest Expense,51290000.0,51429000.0,51409000.0,52888000.0,94199000.0,
Interest Income,,,,,,7948000.0
Normalized Income,1102256000.0,835545000.0,771856000.0,752537033.352523,599204000.0,
Net Income From Continuing And Discontinued Operation,1102269000.0,835545000.0,819531000.0,576419000.0,599204000.0,
Total Expenses,382701000.0,326038000.0,301072000.0,631607000.0,764799000.0,
Total Operating Income As Reported,1275243000.0,1079007000.0,957682000.0,663471000.0,607980000.0,
Diluted Average Shares,339898000.0,340974000.0,342194433.0,344877542.0,346423848.0,
Basic Average Shares,338159000.0,338531000.0,338617184.0,339837238.0,339168374.0,
Diluted EPS,3.24,2.45,2.39,1.67,1.73,
Basic EPS,3.26,2.47,2.42,1.7,1.77,
Diluted NI Availto Com Stockholders,1102207000.0,835495000.0,819327000.0,576277000.0,598669000.0,
Average Dilution Earnings,0.0,0.0,2000.0,2000.0,10000.0,
Net Income Common Stockholders,1102207000.0,835495000.0,819325000.0,576275000.0,598659000.0,
Otherunder Preferred Stock Dividend,62000.0,50000.0,206000.0,144000.0,545000.0,
Net Income,1102269000.0,835545000.0,819531000.0,576419000.0,599204000.0,
Net Income Including Noncontrolling Interests,1102269000.0,835545000.0,819531000.0,576419000.0,599204000.0,
Net Income Discontinuous Operations,13000.0,0.0,47675000.0,,,
Net Income Continuous Operations,1102256000.0,835545000.0,771856000.0,576419000.0,599204000.0,
Tax Provision,151098000.0,185401000.0,112148000.0,41975000.0,-84080000.0,
Pretax Income,1253354000.0,1020946000.0,884004000.0,618394000.0,515124000.0,
Other Income Expense,29401000.0,-6632000.0,-22269000.0,-181132000.0,,
Other Non Operating Income Expenses,29401000.0,-6632000.0,-22269000.0,7811000.0,,
Special Income Charges,,,,-188943000.0,,
Impairment Of Capital Assets,,,,188943000.0,,
Net Non Operating Interest Income Expense,-51290000.0,-51429000.0,-51409000.0,-52888000.0,-113662000.0,
Interest Expense Non Operating,51290000.0,51429000.0,51409000.0,52888000.0,94199000.0,
Interest Income Non Operating,,,,,,7948000.0
Operating Income,1275243000.0,1079007000.0,957682000.0,852414000.0,607980000.0,
Operating Expense,199172000.0,151183000.0,145996000.0,360375000.0,444347000.0,
Research And Development,82220000.0,43852000.0,44032000.0,122918000.0,169480000.0,
Selling General And Administration,116952000.0,107331000.0,101964000.0,237457000.0,274867000.0,
Selling And Marketing Expense,48776000.0,48575000.0,46917000.0,182956000.0,214662000.0,
General And Administrative Expense,68176000.0,58756000.0,55047000.0,54501000.0,60205000.0,
Other Gand A,68176000.0,58756000.0,55047000.0,54501000.0,60205000.0,
Gross Profit,1474415000.0,1230190000.0,1103678000.0,1212789000.0,1052327000.0,
Cost Of Revenue,183529000.0,174855000.0,155076000.0,271232000.0,320452000.0,
Total Revenue,1657944000.0,1405045000.0,1258754000.0,1484021000.0,1372779000.0,
Operating Revenue,1657944000.0,1405045000.0,1258754000.0,1484021000.0,1372779000.0,
