,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1638000000.0,2417000000.0,1254000000.0,1877000000.0,1824000000.0
Repurchase Of Capital Stock,-573000000.0,-501000000.0,-505000000.0,-477000000.0,-503000000.0
Repayment Of Debt,-2158000000.0,-1251000000.0,-700000000.0,-693000000.0,-992000000.0
Issuance Of Debt,-10000000.0,1833000000.0,1403000000.0,1498000000.0,649000000.0
Capital Expenditure,-1059000000.0,-1011000000.0,-744000000.0,-551000000.0,-807000000.0
End Cash Position,774000000.0,2413000000.0,1876000000.0,1238000000.0,1085000000.0
Beginning Cash Position,2413000000.0,1876000000.0,1238000000.0,1085000000.0,1221000000.0
Effect Of Exchange Rate Changes,-24000000.0,6000000.0,65000000.0,39000000.0,-148000000.0
Changes In Cash,-1615000000.0,531000000.0,573000000.0,114000000.0,12000000.0
Financing Cash Flow,-3241000000.0,-1786000000.0,-555000000.0,-1543000000.0,-1878000000.0
Cash Flow From Continuing Financing Activities,-3241000000.0,-1786000000.0,-555000000.0,-1543000000.0,-1876000000.0
Net Other Financing Charges,-46000000.0,-35000000.0,-126000000.0,40000000.0,-32000000.0
Proceeds From Stock Option Exercised,69000000.0,29000000.0,41000000.0,147000000.0,75000000.0
Cash Dividends Paid,-1323000000.0,-1262000000.0,-1265000000.0,-1266000000.0,-1268000000.0
Common Stock Dividend Paid,-1323000000.0,-1262000000.0,-1265000000.0,-1266000000.0,-1268000000.0
Net Common Stock Issuance,-573000000.0,-501000000.0,-505000000.0,-477000000.0,-503000000.0
Common Stock Payments,-573000000.0,-501000000.0,-505000000.0,-477000000.0,-503000000.0
Net Issuance Payments Of Debt,-1368000000.0,-17000000.0,1300000000.0,13000000.0,-150000000.0
Net Short Term Debt Issuance,800000000.0,-599000000.0,597000000.0,-792000000.0,193000000.0
Net Long Term Debt Issuance,-2168000000.0,582000000.0,703000000.0,805000000.0,-343000000.0
Long Term Debt Payments,-2158000000.0,-1251000000.0,-700000000.0,-693000000.0,-992000000.0
Long Term Debt Issuance,-10000000.0,1833000000.0,1403000000.0,1498000000.0,649000000.0
Investing Cash Flow,-1069000000.0,-1112000000.0,-869000000.0,-771000000.0,-742000000.0
Cash Flow From Continuing Investing Activities,-1069000000.0,-1112000000.0,-869000000.0,-772000000.0,-742000000.0
Net Other Investing Changes,-149000000.0,-116000000.0,-114000000.0,-199000000.0,-106000000.0
Net Business Purchase And Sale,47000000.0,-7000000.0,-22000000.0,-26000000.0,81000000.0
Sale Of Business,161000000.0,102000000.0,34000000.0,49000000.0,155000000.0
Purchase Of Business,-114000000.0,-109000000.0,-56000000.0,-75000000.0,-74000000.0
Net PPE Purchase And Sale,92000000.0,22000000.0,11000000.0,5000000.0,90000000.0
Sale Of PPE,92000000.0,22000000.0,11000000.0,5000000.0,90000000.0
Capital Expenditure Reported,-1059000000.0,-1011000000.0,-744000000.0,-551000000.0,-807000000.0
Operating Cash Flow,2697000000.0,3428000000.0,1998000000.0,2428000000.0,2631000000.0
Cash Flow From Continuing Operating Activities,2697000000.0,3428000000.0,1998000000.0,2427000000.0,2630000000.0
Change In Working Capital,156000000.0,570000000.0,-731000000.0,111000000.0,76000000.0
Other Non Cash Items,-10000000.0,-53000000.0,-71000000.0,-72000000.0,52000000.0
Stock Based Compensation,37000000.0,39000000.0,44000000.0,45000000.0,44000000.0
Deferred Tax,-77000000.0,35000000.0,-41000000.0,-44000000.0,-73000000.0
Deferred Income Tax,-77000000.0,35000000.0,-41000000.0,-44000000.0,-73000000.0
Depreciation Amortization Depletion,576000000.0,559000000.0,544000000.0,520000000.0,553000000.0
Depreciation And Amortization,576000000.0,559000000.0,544000000.0,520000000.0,553000000.0
Net Income From Continuing Operations,2164000000.0,2278000000.0,2253000000.0,1868000000.0,2016000000.0
