,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-49905662.108837,-62123054.615756,-45435000.0,-201083000.0
Tax Rate For Calcs,0.214187,0.205027,0.195,0.211
Normalized EBITDA,14911000000.0,14251000000.0,14094000000.0,11856000000.0
Total Unusual Items,-233000000.0,-303000000.0,-233000000.0,-953000000.0
Total Unusual Items Excluding Goodwill,-233000000.0,-303000000.0,-233000000.0,-953000000.0
Net Income From Continuing Operation Net Minority Interest,8563000000.0,8223000000.0,8469000000.0,6177000000.0
Reconciled Depreciation,2199000000.0,2097000000.0,1978000000.0,1871000000.0
Reconciled Cost Of Revenue,9709000000.0,9560000000.0,9335000000.0,8474000000.0
EBITDA,14678000000.0,13948000000.0,13861000000.0,10903000000.0
EBIT,12479000000.0,11851000000.0,11883000000.0,9032000000.0
Net Interest Income,-1500000000.0,-1403000000.0,-1174000000.0,-1163000000.0
Interest Expense,1582000000.0,1506000000.0,1361000000.0,1207000000.0
Interest Income,82000000.0,103000000.0,187000000.0,44000000.0
Normalized Income,8746094337.891163,8463876945.384244,8656565000.0,6928917000.0
Net Income From Continuing And Discontinued Operation,8563000000.0,8223000000.0,8469000000.0,6177000000.0
Total Expenses,14491000000.0,14069000000.0,13748000000.0,12837000000.0
Rent Expense Supplemental,4976000000.0,4917000000.0,4774000000.0,4376000000.0
Total Operating Income As Reported,12393000000.0,11712000000.0,11647000000.0,9371000000.0
Diluted Average Shares,716400000.0,721900000.0,732300000.0,741300000.0
Basic Average Shares,713400000.0,718300000.0,722700000.0,731300000.0
Diluted EPS,11.95,11.39,11.56,8.33
Basic EPS,12.0,11.45,11.718279,8.447149
Diluted NI Availto Com Stockholders,8563000000.0,8223000000.0,8469000000.0,6177000000.0
Net Income Common Stockholders,8563000000.0,8223000000.0,8469000000.0,6177000000.0
Net Income,8563000000.0,8223000000.0,8469000000.0,6177000000.0
Net Income Including Noncontrolling Interests,8563000000.0,8224000000.0,8469000000.0,6177000000.0
Net Income Continuous Operations,8563000000.0,8224000000.0,8469000000.0,6177000000.0
Tax Provision,2334000000.0,2121000000.0,2053000000.0,1648000000.0
Pretax Income,10897000000.0,10345000000.0,10522000000.0,7825000000.0
Other Income Expense,2000000.0,-104000000.0,-49000000.0,-1357000000.0
Other Non Operating Income Expenses,45000000.0,42000000.0,31000000.0,-517000000.0
Special Income Charges,-193000000.0,-297000000.0,-252000000.0,-1087000000.0
Gain On Sale Of Ppe,-97000000.0,-100000000.0,7000000.0,-137000000.0
Gain On Sale Of Business,133000000.0,94000000.0,103000000.0,60000000.0
Write Off,229000000.0,291000000.0,362000000.0,1010000000.0
Restructuring And Mergern Acquisition,,221000000.0,,
Earnings From Equity Interest,190000000.0,157000000.0,153000000.0,113000000.0
Gain On Sale Of Security,-40000000.0,-6000000.0,19000000.0,134000000.0
Net Non Operating Interest Income Expense,-1500000000.0,-1403000000.0,-1174000000.0,-1163000000.0
Interest Expense Non Operating,1582000000.0,1506000000.0,1361000000.0,1207000000.0
Interest Income Non Operating,82000000.0,103000000.0,187000000.0,44000000.0
Operating Income,12394000000.0,11851000000.0,11747000000.0,10345000000.0
Operating Expense,3040000000.0,2859000000.0,2817000000.0,2862000000.0
Depreciation Amortization Depletion Income Statement,457000000.0,447000000.0,382000000.0,370000000.0
Depreciation And Amortization In Income Statement,457000000.0,447000000.0,382000000.0,370000000.0
Selling General And Administration,2583000000.0,2412000000.0,2435000000.0,2492000000.0
Gross Profit,15434000000.0,14710000000.0,14564000000.0,13207000000.0
Cost Of Revenue,11451000000.0,11210000000.0,10931000000.0,9975000000.0
Total Revenue,26885000000.0,25920000000.0,25495000000.0,23182000000.0
Operating Revenue,26238000000.0,25497000000.0,25179000000.0,22854000000.0
