,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-133380000.0,-136800000.0,0.0,-14080000.0,
Tax Rate For Calcs,0.27,0.2,0.21,0.08,
Normalized EBITDA,12258000000.0,15392000000.0,14796000000.0,17833000000.0,
Total Unusual Items,-494000000.0,-684000000.0,0.0,-176000000.0,
Total Unusual Items Excluding Goodwill,-494000000.0,-684000000.0,0.0,-176000000.0,
Net Income From Continuing Operation Net Minority Interest,3794000000.0,7130000000.0,14999000000.0,12583000000.0,
Reconciled Depreciation,6148000000.0,5368000000.0,4667000000.0,3747000000.0,
Reconciled Cost Of Revenue,77733000000.0,80240000000.0,79113000000.0,60609000000.0,
EBITDA,11764000000.0,14708000000.0,14796000000.0,17657000000.0,
EBIT,5616000000.0,9340000000.0,10129000000.0,13910000000.0,
Net Interest Income,1342000000.0,1219000000.0,910000000.0,106000000.0,
Interest Expense,338000000.0,350000000.0,156000000.0,191000000.0,
Interest Income,1680000000.0,1569000000.0,1066000000.0,297000000.0,
Normalized Income,4154620000.0,7677200000.0,14999000000.0,12744920000.0,
Net Income From Continuing And Discontinued Operation,3794000000.0,7130000000.0,14999000000.0,12583000000.0,
Total Expenses,89978000000.0,89930000000.0,87882000000.0,67630000000.0,
Rent Expense Supplemental,,1003000000.0,1268000000.0,1509000000.0,978000000.0
Total Operating Income As Reported,4355000000.0,7076000000.0,8891000000.0,13656000000.0,
Diluted Average Shares,3526250000.0,3216000000.0,3482750000.0,3475000000.0,
Basic Average Shares,3224750000.0,3216000000.0,3173500000.0,3130000000.0,
Diluted EPS,1.08,2.04,4.31,3.62,
Basic EPS,1.176525,2.23,4.725697,4.02,
Diluted NI Availto Com Stockholders,3794000000.0,7130000000.0,14999000000.0,12584000000.0,
Average Dilution Earnings,,0.0,0.0,1000000.0,9000000.0
Net Income Common Stockholders,3794000000.0,7130000000.0,14999000000.0,12583000000.0,
Otherunder Preferred Stock Dividend,,,,,-5000000.0
Net Income,3794000000.0,7130000000.0,14999000000.0,12583000000.0,
Minority Interests,-61000000.0,-23000000.0,25000000.0,-4000000.0,
Net Income Including Noncontrolling Interests,3855000000.0,7153000000.0,14974000000.0,12587000000.0,
Net Income Continuous Operations,3855000000.0,7153000000.0,14974000000.0,12587000000.0,
Tax Provision,1423000000.0,1837000000.0,-5001000000.0,1132000000.0,
Pretax Income,5278000000.0,8990000000.0,9973000000.0,13719000000.0,
Other Income Expense,-913000000.0,11000000.0,172000000.0,-219000000.0,
Other Non Operating Income Expenses,-419000000.0,695000000.0,172000000.0,-43000000.0,
Special Income Charges,-494000000.0,-684000000.0,0.0,-176000000.0,
Restructuring And Mergern Acquisition,494000000.0,684000000.0,0.0,176000000.0,
Net Non Operating Interest Income Expense,1342000000.0,1219000000.0,910000000.0,106000000.0,
Interest Expense Non Operating,338000000.0,350000000.0,156000000.0,191000000.0,
Interest Income Non Operating,1680000000.0,1569000000.0,1066000000.0,297000000.0,
Operating Income,4849000000.0,7760000000.0,8891000000.0,13832000000.0,
Operating Expense,12245000000.0,9690000000.0,8769000000.0,7021000000.0,
Research And Development,6411000000.0,4540000000.0,3969000000.0,3075000000.0,
Selling General And Administration,5834000000.0,5150000000.0,4800000000.0,3946000000.0,
Gross Profit,17094000000.0,17450000000.0,17660000000.0,20853000000.0,
Cost Of Revenue,77733000000.0,80240000000.0,79113000000.0,60609000000.0,
Total Revenue,94827000000.0,97690000000.0,96773000000.0,81462000000.0,
Operating Revenue,94827000000.0,97690000000.0,96773000000.0,81462000000.0,
