,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,992378314000.0,861195445000.0,286568900000.0,520972800000.0,
Repurchase Of Capital Stock,0.0,-3089177000.0,0.0,-871600000.0,
Repayment Of Debt,-60516528000.0,-12169196000.0,-22711200000.0,-118955000000.0,
Issuance Of Debt,97558400000.0,65197000000.0,116058600000.0,200963600000.0,
Capital Expenditure,-1282597311000.0,-964981623000.0,-955398400000.0,-1089626400000.0,
End Cash Position,2767856402000.0,2127627043000.0,1465427800000.0,1342814100000.0,
Beginning Cash Position,2127627043000.0,1465427753000.0,1342814100000.0,1064990200000.0,
Effect Of Exchange Rate Changes,-50008167000.0,47165901000.0,-8338800000.0,58397000000.0,
Changes In Cash,690237526000.0,615033389000.0,130952500000.0,219426900000.0,
Financing Cash Flow,-440344692000.0,-346300910000.0,-204894200000.0,-200244000000.0,
Cash Flow From Continuing Financing Activities,-440344692000.0,-346300910000.0,-204894200000.0,-200244000000.0,
Net Other Financing Charges,8521434000.0,-14433078000.0,10839300000.0,16071800000.0,
Interest Paid Cff,-19128799000.0,-18751233000.0,-17359000000.0,-12218600000.0,
Cash Dividends Paid,-466779199000.0,-363055226000.0,-291721900000.0,-285234200000.0,
Common Stock Dividend Paid,-466779199000.0,-363055226000.0,-291721852000.0,-285234200000.0,
Net Common Stock Issuance,0.0,-3089177000.0,0.0,-871600000.0,
Common Stock Payments,0.0,-3089177000.0,0.0,-871600000.0,
Net Issuance Payments Of Debt,37041872000.0,53027804000.0,93347400000.0,82008600000.0,
Net Short Term Debt Issuance,,-26496600000.0,27908600000.0,-111960000000.0,35668400000.0
Short Term Debt Payments,,-26496600000.0,0.0,-111960000000.0,0.0
Short Term Debt Issuance,,,27908600000.0,0.0,35668400000.0
Net Long Term Debt Issuance,37041872000.0,53027804000.0,65438800000.0,193968600000.0,
Long Term Debt Payments,-60516528000.0,-12169196000.0,-22711200000.0,-6995000000.0,
Long Term Debt Issuance,97558400000.0,65197000000.0,88150000000.0,200963600000.0,
Investing Cash Flow,-1144393407000.0,-864842769000.0,-906120600000.0,-1190928300000.0,
Cash Flow From Continuing Investing Activities,-1144393407000.0,-864842769000.0,-906120600000.0,-1190928300000.0,
Net Other Investing Changes,77294710000.0,77127710000.0,44943400000.0,5439700000.0,
Interest Received Cfi,98954730000.0,76434070000.0,55887200000.0,18083700000.0,
Dividends Received Cfi,3939590000.0,3507004000.0,3521600000.0,3016500000.0,
Net Investment Purchase And Sale,-42782171000.0,-54142932000.0,-55781400000.0,-128837700000.0,
Sale Of Investment,218924492000.0,186479726000.0,170500600000.0,108980400000.0,
Purchase Of Investment,-261706663000.0,-240622658000.0,-226282000000.0,-237818100000.0,
Net Business Purchase And Sale,0.0,-3738753000.0,0.0,0.0,
Purchase Of Business,0.0,-3738753000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-10146942000.0,-8818478000.0,-5515300000.0,-6941700000.0,
Sale Of Intangibles,0.0,57182000.0,3100000.0,12600000.0,
Purchase Of Intangibles,-10146942000.0,-8875660000.0,-5518400000.0,-6954300000.0,
Net PPE Purchase And Sale,-1271653324000.0,-955211390000.0,-949176100000.0,-1081688800000.0,
Sale Of PPE,797045000.0,894573000.0,703900000.0,983300000.0,
Purchase Of PPE,-1272450369000.0,-956105963000.0,-949880000000.0,-1082672100000.0,
Operating Cash Flow,2274975625000.0,1826177068000.0,1241967300000.0,1610599200000.0,
Cash Flow From Continuing Operating Activities,2274975625000.0,1826177068000.0,1241967300000.0,1610599200000.0,
Taxes Refund Paid,-267557452000.0,-183640119000.0,-159875100000.0,-86561200000.0,
Change In Working Capital,-96752050000.0,13350834000.0,-56852000000.0,122508500000.0,
Change In Other Working Capital,-32623508000.0,-4551597000.0,-1117900000.0,-3893200000.0,
Change In Other Current Liabilities,385084000.0,16768683000.0,13329900000.0,101390500000.0,
Change In Other Current Assets,-10095470000.0,-17914776000.0,-10652200000.0,-6131500000.0,
Change In Payables And Accrued Expense,-44206272000.0,125998042000.0,-57962500000.0,92235600000.0,
Change In Accrued Expense,-70731414000.0,94813594000.0,-55498300000.0,71802700000.0,
Change In Payable,26525142000.0,31184448000.0,-2464200000.0,20432900000.0,
Change In Account Payable,9751037000.0,17073801000.0,847000000.0,7594100000.0,
Change In Inventory,-240675000.0,-36871722000.0,-29847900000.0,-28046800000.0,
Change In Receivables,-9971209000.0,-70077796000.0,29398600000.0,-33046100000.0,
Changes In Account Receivables,,,,-32169900000.0,-52105900000.0
Other Non Cash Items,-92319479000.0,-77153723000.0,-48632500000.0,-10533400000.0,
Stock Based Compensation,1246070000.0,1242719000.0,483000000.0,302400000.0,
Asset Impairment Charge,778059000.0,1200392000.0,35700000.0,843100000.0,
Depreciation Amortization Depletion,688096370000.0,662796635000.0,532190900000.0,437254300000.0,
Depreciation And Amortization,688096370000.0,662796635000.0,532190900000.0,437254300000.0,
Amortization Cash Flow,8412412000.0,9186149000.0,9258200000.0,8756100000.0,
Amortization Of Intangibles,8412412000.0,9186149000.0,9258200000.0,8756100000.0,
Depreciation,679683958000.0,653610486000.0,522932700000.0,428498200000.0,
Operating Gains Losses,-178733000.0,2541695000.0,-4699200000.0,2713300000.0,
Earnings Losses From Equity Investments,-5496594000.0,-4879367000.0,-4800200000.0,-7679800000.0,
Gain Loss On Investment Securities,-744622000.0,253932000.0,-2600000.0,143300000.0,
Net Foreign Currency Exchange Gain Loss,4308948000.0,4576295000.0,-246700000.0,10342700000.0,
Gain Loss On Sale Of PPE,1753535000.0,2597961000.0,366100000.0,-92900000.0,
Gain Loss On Sale Of Business,0.0,-7126000.0,-15800000.0,0.0,
Net Income From Continuing Operations,2041662840000.0,1405838635000.0,979316500000.0,1144072200000.0,
