,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,364040978000.0,138385742000.0,197501479000.0,292450115000.0,255196991000.0,
Repurchase Of Capital Stock,0.0,0.0,,,-23000.0,0.0
Repayment Of Debt,-3186691000.0,-40846080000.0,,-4610352000.0,-3046718000.0,-33090489000.0
Issuance Of Debt,26101415000.0,32761985000.0,,24595000000.0,7455000000.0,17064000000.0
Capital Expenditure,-361467809000.0,-288443339000.0,,-333123557000.0,-365008324000.0,-207903818000.0
End Cash Position,2767856402000.0,2470759384000.0,,2394804250000.0,2127627000000.0,1886780555000.0
Beginning Cash Position,2470759384000.0,2364524340000.0,2394804250000.0,2127627043000.0,1886780555000.0,
Effect Of Exchange Rate Changes,45233661000.0,67451706000.0,,16461553000.0,33292154000.0,-25191055000.0
Changes In Cash,251863357000.0,38783338000.0,148875177000.0,250715654000.0,207554244000.0,
Financing Cash Flow,-107685373000.0,-128293126000.0,-119700601000.0,-84665592000.0,-100732513000.0,
Cash Flow From Continuing Financing Activities,-107685373000.0,-128293126000.0,-119700601000.0,-84665592000.0,-100732513000.0,
Net Other Financing Charges,4413217000.0,958217000.0,1562500000.0,1587500000.0,4540550000.0,
Interest Paid Cff,-5350237000.0,-4039862000.0,-7222481000.0,-2516219000.0,-5946830000.0,
Cash Dividends Paid,-129663077000.0,-116697301000.0,-116697300000.0,-103721521000.0,-103734492000.0,
Common Stock Dividend Paid,-129663077000.0,-116697301000.0,,-103721521000.0,-103734000000.0,-90762247000.0
Net Common Stock Issuance,0.0,0.0,,,-23000.0,0.0
Common Stock Payments,0.0,0.0,,,-23000.0,0.0
Net Issuance Payments Of Debt,22914724000.0,-8514180000.0,,19984648000.0,4408282000.0,10470081000.0
Net Short Term Debt Issuance,,0.0,430085000.0,0.0,-30000.0,0.0
Short Term Debt Payments,,,,0.0,-30000.0,
Net Long Term Debt Issuance,23344809000.0,-8514180000.0,2226595000.0,19984648000.0,4408312000.0,
Long Term Debt Payments,-3186691000.0,-40846080000.0,-11873405000.0,-4610352000.0,-3046688000.0,
Long Term Debt Issuance,26531500000.0,32331900000.0,,24595000000.0,7455000000.0,17064000000.0
Investing Cash Flow,-365960057000.0,-259752617000.0,-228488307000.0,-290192426000.0,-311918558000.0,
Cash Flow From Continuing Investing Activities,-365960057000.0,-259752617000.0,-228488307000.0,-290192426000.0,-311918558000.0,
Net Other Investing Changes,5324939000.0,4727168000.0,,35133430000.0,58254799000.0,8092432000.0
Interest Received Cfi,26160011000.0,22351062000.0,26024922000.0,24418735000.0,18472893000.0,
Dividends Received Cfi,47959000.0,2706164000.0,1090589000.0,94878000.0,207451000.0,
Net Investment Purchase And Sale,-36507421000.0,-1163170000.0,11732096000.0,-16843676000.0,-20370042000.0,
Sale Of Investment,41392452000.0,49281939000.0,74322730000.0,53927371000.0,56980998000.0,
Purchase Of Investment,-77899873000.0,-50445109000.0,,-70771047000.0,-77351040000.0,-54208977000.0
Net Intangibles Purchase And Sale,-4552025000.0,-978459000.0,,-2285615000.0,-3040317000.0,-765697000.0
Sale Of Intangibles,0.0,0.0,,,7907000.0,0.0
Purchase Of Intangibles,-4552025000.0,-978459000.0,-2330843000.0,-2285615000.0,-3048224000.0,
Net PPE Purchase And Sale,-356433520000.0,-287395382000.0,,-330710178000.0,-361704542000.0,-206991844000.0
Sale Of PPE,482264000.0,69498000.0,117519000.0,127764000.0,255558000.0,
Purchase Of PPE,-356915784000.0,-287464880000.0,,-330837942000.0,-361960100000.0,-207138121000.0
Capital Expenditure Reported,,-287450000000.0,,,,
Operating Cash Flow,725508787000.0,426829081000.0,497064085000.0,625573672000.0,620205315000.0,
Cash Flow From Continuing Operating Activities,725508787000.0,426829081000.0,497064085000.0,625573672000.0,620205315000.0,
