,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,862487251.221774,183910697.874719,442708766.369197,457733710.337512,
Tax Rate For Calcs,0.159804,0.166027,0.130998,0.13179,
Normalized EBITDA,2736732443000.0,2078022873000.0,1520127300000.0,1589603300000.0,
Total Unusual Items,5397154000.0,1107717000.0,3379500000.0,3473200000.0,
Total Unusual Items Excluding Goodwill,5397154000.0,1107717000.0,3379500000.0,3473200000.0,
Net Income From Continuing Operation Net Minority Interest,1717882627000.0,1173267703000.0,851740000000.0,992923400000.0,
Reconciled Depreciation,688096370000.0,662796635000.0,532190900000.0,437254300000.0,
Reconciled Cost Of Revenue,1527760293000.0,1269954135000.0,986625200000.0,915536500000.0,
EBITDA,2742129597000.0,2079130590000.0,1523506800000.0,1593076500000.0,
EBIT,2054033227000.0,1416333955000.0,991315900000.0,1155822200000.0,
Net Interest Income,93368694000.0,76718079000.0,48294500000.0,10672200000.0,
Interest Expense,12370387000.0,10495320000.0,11999400000.0,11750000000.0,
Interest Income,105739081000.0,87213399000.0,60293900000.0,22422200000.0,
Normalized Income,1713347960251.2217,1172343896697.8748,848803208766.3691,989907933710.3375,
Net Income From Continuing And Discontinued Operation,1717882627000.0,1173267703000.0,851740000000.0,992923400000.0,
Total Expenses,1872975786000.0,1572292299000.0,1240305900000.0,1142664800000.0,
Total Operating Income As Reported,1936091677000.0,1322053050000.0,921465600000.0,1121278900000.0,
Diluted Average Shares,5186111400.0,5185929000.0,5185853400.0,5185838000.0,
Basic Average Shares,5185652400.0,5185511200.0,5185844600.0,5185838000.0,
Diluted EPS,331.25,226.25,161.7,196.0,
Basic EPS,331.3,226.25,161.7,196.0,
Diluted NI Availto Com Stockholders,1717882627000.0,1173267703000.0,851740000000.0,992923400000.0,
Net Income Common Stockholders,1717882627000.0,1173267703000.0,851740000000.0,992923400000.0,
Net Income,1717882627000.0,1173267703000.0,851740000000.0,992923400000.0,
Minority Interests,2485847000.0,835944000.0,712300000.0,-371300000.0,
Net Income Including Noncontrolling Interests,1715396780000.0,1172431759000.0,851027700000.0,993294700000.0,
Net Income Continuous Operations,1715396780000.0,1172431759000.0,851027700000.0,993294700000.0,
Tax Provision,326266060000.0,233406876000.0,128288800000.0,150777500000.0,
Pretax Income,2041662840000.0,1405838635000.0,979316500000.0,1144072200000.0,
Other Income Expense,12215660000.0,7105156000.0,9592100000.0,12173500000.0,
Other Non Operating Income Expenses,1321912000.0,1118072000.0,1412400000.0,1020500000.0,
Special Income Charges,-167986000.0,7126000.0,15700000.0,0.0,
Gain On Sale Of Business,-167986000.0,7126000.0,15700000.0,0.0,
Write Off,,,9500000.0,900000.0,1300000.0
Earnings From Equity Interest,5496594000.0,4879367000.0,4800200000.0,7679800000.0,
Gain On Sale Of Security,5565140000.0,1100591000.0,3363800000.0,3473200000.0,
Net Non Operating Interest Income Expense,93368694000.0,76718079000.0,48294500000.0,10672200000.0,
Total Other Finance Cost,,-76718000000.0,-48294000000.0,,-294000000.0
Interest Expense Non Operating,12370387000.0,10495320000.0,11999400000.0,11750000000.0,
Interest Income Non Operating,105739081000.0,87213399000.0,60293900000.0,22422200000.0,
Operating Income,1936078486000.0,1322015400000.0,921429900000.0,1121226500000.0,
Operating Expense,345215493000.0,302338164000.0,253680700000.0,227128300000.0,
Other Operating Expenses,-434137000.0,1267849000.0,-153000000.0,420800000.0,
Research And Development,246427264000.0,204181823000.0,182370200000.0,163262200000.0,
Selling General And Administration,99222366000.0,96888492000.0,71463500000.0,63445300000.0,
Selling And Marketing Expense,16918076000.0,13143524000.0,10590700000.0,9920500000.0,
General And Administrative Expense,82304290000.0,83744968000.0,60872800000.0,53524800000.0,
Other Gand A,82304290000.0,83744968000.0,60872800000.0,53524800000.0,
Gross Profit,2281293979000.0,1624353564000.0,1175110600000.0,1348354800000.0,
Cost Of Revenue,1527760293000.0,1269954135000.0,986625200000.0,915536500000.0,
Total Revenue,3809054272000.0,2894307699000.0,2161735800000.0,2263891300000.0,
Operating Revenue,3809054272000.0,2894307699000.0,2161735800000.0,2263891300000.0,
